section	key	ru	uk	de	es	fr	pl	it	tr	pt	ro	bg	cs	sk	hu	el	sl	et	lt
Nav	training	Тренировка	"=GOOGLETRANSLATE(C2; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C2; ""ru""; ""lt"")"
Nav	leaderboard	Рейтинг	"=GOOGLETRANSLATE(C3; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C3; ""ru""; ""lt"")"
Nav	dictionary	Словарь	"=GOOGLETRANSLATE(C4; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C4; ""ru""; ""lt"")"
Nav	favorites	Избранное	"=GOOGLETRANSLATE(C5; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C5; ""ru""; ""lt"")"
Nav	stats	Статистика	"=GOOGLETRANSLATE(C6; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C6; ""ru""; ""lt"")"
Nav	settings	Настройки	"=GOOGLETRANSLATE(C7; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C7; ""ru""; ""lt"")"
Nav	demo	Гостевой режим	"=GOOGLETRANSLATE(C8; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C8; ""ru""; ""lt"")"
Common	words	слов	"=GOOGLETRANSLATE(C9; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C9; ""ru""; ""lt"")"
Common	word_1	слово	"=GOOGLETRANSLATE(C10; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C10; ""ru""; ""lt"")"
Common	word_2	слова	"=GOOGLETRANSLATE(C11; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C11; ""ru""; ""lt"")"
